,0
152,0.7372570245916193
153,0.43629671963778405
154,0.6915461869673295
155,0.7232564475319602
156,0.5226579700816761
157,0.28008209228515624
158,0.189183613170277
159,1.1119162819602273
160,0.42061071222478696
161,0.3761916836825284
162,2.479246271306818
163,0.09162585171786221
164,0.005212871811606667
165,0.18335766878995027
166,9.37533203125
167,1.8928071732954548
168,0.2189966513893821
169,0.007345163171941583
170,0.05463933077725497
171,0.16849420720880684
172,0.1798409756747159
173,0.12185860373757101
174,6.486221590909091
175,6.827486683238636
176,0.20656625921075997
177,0.16906184803355825
178,0.07039424549449574
179,0.49830416592684657
180,0.2762733043323864
181,0.23777313232421876
182,16.945159801136363
183,27.859078480113634
184,0.18137505271218038
185,0.2029133467240767
186,0.2043175575949929
187,0.21322672063654122
188,0.2222360784357244
189,0.006735951683738015
190,1.934136408025568
191,0.4726589133522727
192,0.23313751220703124
193,0.22948815085671165
194,0.3977740201083097
195,0.47887800736860797
196,1.060062588778409
197,1.5905109197443181
198,1.1823957963423295
199,1.3387279163707388
200,1.086477938565341
201,0.58567626953125
202,0.2883726085316051
203,0.2773465798117898
204,0.2909254871715199
205,0.2704347090287642
206,1.094628573330966
207,0.3046578424627131
208,0.31409776167436076
209,0.5117527077414773
210,0.49825156471946025
211,0.5933060524680398
212,0.9132661021839489
213,1.1180912642045455
214,0.927762284712358
215,0.2601207108931108
216,0.1323277560147372
217,1.2131777121803977
218,1.4728180486505682
219,14.9591015625
220,0.00806296088478782
221,0.00763778339732777
222,0.18291298606178977
223,0.15175624500621449
224,0.11480948708274148
225,0.1014379952170632
226,0.08235973011363637
227,0.3535305231267756
228,0.07559955943714489
229,0.051300277709960936
230,0.04573143352161754
231,9.758619495738635
232,22.63857599431818
233,0.010219146555120295
234,1.9334772283380681
235,0.014757673090154475
236,9.164223188920454
237,18.244536576704544
238,0.005979089303450151
239,6.0213223544034085
240,1.332749578302557
241,2.4065866921164774
242,1.683206565163352
243,0.06148705222389915
244,1.811370627663352
245,0.5669307084517046
246,0.008773913816972212
247,1.198167724609375
248,0.006609047109430487
249,0.03725505135276101
250,0.5262155983664772
251,1.5417699085582388
252,2.4834672407670455
253,5.806966441761364
254,3.4692662464488637
255,5.411998401988637
256,9.456208274147727
257,11.025400390625
258,6.923056640625
259,8.329860617897728
260,3.1552024147727273
261,7.142671786221591
262,2.8678952858664775
263,19.869994673295455
264,8.736787109375
265,8.67989346590909
266,12.260662286931817
267,36.420035511363636
